Sendungstitel,FolgenNr,Staffel,Folge,Datum,Dauer,Sendezeit,Gästesubstr,Gast_1,Beschreibung_1,Gast_2,Beschreibung_2,Gast_3,Beschreibung_3,Gast_4,Beschreibung_4,Gast_5,Beschreibung_5,Gast_6,Beschreibung_6,Gast_7,Beschreibung_7,Gast_8,Beschreibung_8,Gast_9,Beschreibung_9,Gast_10,Beschreibung_10,Gast_11,Beschreibung_11,Gast_12,Beschreibung_12,Gast_13,Beschreibung_13
 Markus Lanz 15.09.2021,1575,14,104,15.09.2021,050'11,00:03:18 - 00:53:29, 00:03:18 - 00:53:29 050'11 O-Ton Interview Markus LANZ mit den Studiogästen Paul ZIEMIAK (GenSekr CDU) und Lars KLINGBEIL (GenSekr SPD) ,Paul ZIEMIAK,GenSekr CDU,Lars KLINGBEIL,GenSekr SPD,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 16.09.2021,1576,14,105,16.09.2021,074'40,23:23:16 - 00:37:56," 23:23:16 - 00:37:56 074'40 O-Ton Interview Markus LANZ mit den Studiogästen Edmund STOIBER (Ehrenvors CSU, ehem Kanzlerkandidat), Anna MAYR (Journalistin, Die Zeit), Julius VAN DE LAAR (Strategieberater) und Marcel FRATZSCHER (Wirtschaftswissenschaftler, Präs Deutsches Institut für Wirtschaftsforschung) ",Edmund STOIBER,"Ehrenvors CSU, ehem Kanzlerkandidat",Anna MAYR,"Journalistin, Die Zeit",Julius VAN,Strategieberater,Marcel FRATZSCHER,"Wirtschaftswissenschaftler, Präs Deutsches Institut für Wirtschaftsforschung",,,,,,,,,,,,,,,,,,
 Markus Lanz 21.09.2021,1577,14,106,21.09.2021,077'07,23:17:27 - 00:34:34," 23:17:27 - 00:34:34 077'07 O-Ton Interview Markus LANZ mit den Studiogästen Kevin KÜHNERT (stellv Vors SPD), Volker WISSING (GenSekr FDP) und Luisa NEUBAUER (Klimaaktivistin, Fridays for Future) ",Kevin KÜHNERT,stellv Vors SPD,Volker WISSING,GenSekr FDP,Luisa NEUBAUER,"Klimaaktivistin, Fridays for Future",,,,,,,,,,,,,,,,,,,,
 Markus Lanz 22.09.2021,1578,14,107,22.09.2021,075'39,23:20:06 - 00:35:45," 23:20:06 - 00:35:45 075'39 O-Ton Interview Markus LANZ mit den Studiogästen Linda TEUTEBERG (Politikerin, FDP), Jürgen TRITTIN (Politiker, Bündnis 90 / Die Grünen) und Serap GÜLER (Staatssekretärin für Integration Nordrhein-Westfalen, CDU) ",Linda TEUTEBERG,"Politikerin, FDP",Jürgen TRITTIN,"Politiker, Bündnis 90 / Die Grünen",Serap GÜLER,"Staatssekretärin für Integration Nordrhein-Westfalen, CDU",,,,,,,,,,,,,,,,,,,,
 Markus Lanz 23.09.2021,1579,14,108,23.09.2021,075'39,23:17:45 - 00:33:24," 23:17:45 - 00:33:24 075'39 O-Ton Interview Markus LANZ mit den Studiogästen Norbert WALTER-BORJANS (Vors SPD), Lucia PUTTRICH (Vorstand CDU, Ministerin für Bundes- und Europaangelegenheiten Hessen), Robin ALEXANDER (Journalist, stellv Chefredakteur ""Die Welt"") und Julius VAN DE LAAR (Strategieberater) ",Norbert WALTER-BORJANS,Vors SPD,Lucia PUTTRICH,"Vorstand CDU, Ministerin für Bundes- und Europaangelegenheiten Hessen",Robin ALEXANDER,"Journalist, stellv Chefredakteur ""Die Welt""",Julius VAN,Strategieberater,,,,,,,,,,,,,,,,,,
 Markus Lanz 28.09.2021,1580,14,109,28.09.2021,077'05,22:43:05 - 00:00:10," 22:43:05 - 00:00:10 077'05 O-Ton Interview Markus LANZ mit den Studiogästen Lars KLINGBEIL (GenSekr SPD), Robin ALEXANDER (Journalist, stellv Chefredakteur ""Die Welt""), Heribert REUL (Innenminister Nordrhein-Westfalen) und Marie-Agnes STRACK-ZIMMERMANN (Mitglied Verteidigungsausschuss, FDP) ",Lars KLINGBEIL,GenSekr SPD,Robin ALEXANDER,"Journalist, stellv Chefredakteur ""Die Welt""",Heribert REUL,Innenminister Nordrhein-Westfalen,Agnes STRACK-ZIMMERMANN,"Mitglied Verteidigungsausschuss, FDP",,,,,,,,,,,,,,,,,,
 Markus Lanz 29.09.2021,1581,14,110,29.09.2021,044'57,00:01:32 - 00:46:29," 00:01:32 - 00:46:29 044'57 O-Ton Interview Markus LANZ mit den Studiogästen Gerhart BAUM (ehem BMI, FDP) und Omid NOURIPOUR (MdB, Bündnis 90 / Die Grünen) ",Gerhart BAUM,"ehem BMI, FDP",Omid NOURIPOUR,"MdB, Bündnis 90 / Die Grünen",,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 30.09.2021,1582,14,111,30.09.2021,075'44,23:16:09 - 00:31:53," 23:16:09 - 00:31:53 075'44 O-Ton Interview Markus LANZ mit den Studiogästen Thorsten FREI (stellv Fraktionsvors CDU/CSU), Peter RAMSAUER (Politiker, MdB CSU), Helene BUBROWSKI (Journalistin, Parlamentsredaktion FAZ) und Heiner BREMER (Journalist) ",Thorsten FREI,stellv Fraktionsvors CDU/CSU,Peter RAMSAUER,"Politiker, MdB CSU",Helene BUBROWSKI,"Journalistin, Parlamentsredaktion FAZ",Heiner BREMER,Journalist,,,,,,,,,,,,,,,,,,
 Markus Lanz 05.10.2021,1583,14,112,05.10.2021,075'42,23:34:45 - 00:50:27," 23:34:45 - 00:50:27 075'42 O-Ton Interview Markus LANZ mit den Studiogästen Sahra WAGENKNECHT (Politikerin, Die Linke), Peer STEINBRÜCK (Politiker, SPD), Cerstin GAMMELIN (Journalistin, ""Süddeutsche Zeitung"") und Juli ZEH (Schriftstellerin) ",Sahra WAGENKNECHT,"Politikerin, Die Linke",Peer STEINBRÜCK,"Politiker, SPD",Cerstin GAMMELIN,"Journalistin, ""Süddeutsche Zeitung""",Juli ZEH,Schriftstellerin,,,,,,,,,,,,,,,,,,
 Markus Lanz 06.10.2021,1584,14,113,06.10.2021,075'37,23:16:26 - 00:32:03," 23:16:26 - 00:32:03 075'37 O-Ton Interview Markus LANZ mit den Studiogästen Johannes VOGEL (stellv Vors FDP), Markus FELDENKIRCHEN (Journalist, ""Der Spiegel""), Diana KINNERT (Politikerin und Publizistin, CDU), und Harald WELZER (Soziologe, Publizist) ",Johannes VOGEL,stellv Vors FDP,Markus FELDENKIRCHEN,"Journalist, ""Der Spiegel""",Diana KINNERT,"Politikerin und Publizistin, CDU",Harald WELZER,"Soziologe, Publizist",,,,,,,,,,,,,,,,,,
 Markus Lanz 07.10.2021,1585,14,114,07.10.2021,076'39,23:17:19 - 00:33:58," 23:17:19 - 00:33:58 076'39 O-Ton Interview Markus LANZ mit den Studiogästen BMWE Peter ALTMAIER (CDU, Zuschaltung ",,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 12.10.2021,1586,14,115,12.10.2021,078'18,22:44:57 - 00:03:15," 22:44:57 - 00:03:15 078'18 O-Ton Interview Markus LANZ mit den Studiogästen Kai WEGNER (Politiker, Vors CDU Berlin), Jürgen TRITTIN (Politiker, Bündnis 90 / Die Grünen), Elke HEIDENREICH (Autorin) und Florian KLENK (Journalist, Chefredakteur Wochenzeitung ""Falter"") ",Kai WEGNER,"Politiker, Vors CDU Berlin",Jürgen TRITTIN,"Politiker, Bündnis 90 / Die Grünen",Elke HEIDENREICH,Autorin,Florian KLENK,"Journalist, Chefredakteur Wochenzeitung ""Falter""",,,,,,,,,,,,,,,,,,
 Markus Lanz 13.10.2021,1587,14,116,13.10.2021,075'36,23:17:35 - 00:33:11," 23:17:35 - 00:33:11 075'36 O-Ton Interview Markus LANZ mit den Studiogästen Mariam LAU (Journalistin, ""Die Zeit""), Karl-Josef LAUMANN (Gesundheitsminister Nordrhein-Westfalen, CDU), Stephan GRÜNEWALD (Psychologe), Christina BERNDT (Journalistin, ""Süddeutsche Zeitung"") ",Mariam LAU,"Journalistin, ""Die Zeit""",Josef LAUMANN,"Gesundheitsminister Nordrhein-Westfalen, CDU",Stephan GRÜNEWALD,Psychologe,Christina BERNDT,"Journalistin, ""Süddeutsche Zeitung""",,,,,,,,,,,,,,,,,,
 Markus Lanz 14.10.2021,1588,14,117,14.10.2021,075'42,23:23:32 - 00:39:14," 23:23:32 - 00:39:14 075'42 O-Ton Interview Markus LANZ mit den Studiogästen Kevin KÜHNERT (stellv Vors SPD), Helene BUBROWSKI (Journalistin, ""Frankfurter Allgemeine Zeitung""), Bijan DJIR-SARAI (MdB, FDP), Tankred STÖBE (Arzt, Autor) ",Kevin KÜHNERT,stellv Vors SPD,Helene BUBROWSKI,"Journalistin, ""Frankfurter Allgemeine Zeitung""",Bijan DJIR-SARAI,"MdB, FDP",Tankred STÖBE,"Arzt, Autor",,,,,,,,,,,,,,,,,,
 Markus Lanz 19.10.2021,1589,14,118,19.10.2021,077'32,22:44:57 - 00:02:29," 22:44:57 - 00:02:29 077'32 O-Ton Interview Markus LANZ mit den Studiogästen Robert HABECK (Vors Bündnis 90 / Die Grünen), Kristina DUNZ (Journalistin Redaktionsnetzwerk Deutschland), Karin PRIEN (Ministerin für Bildung, Wissenschaft und Kultur Schleswig-Holstein, CDU) und Ulrich SCHULTE (Journalist, die tageszeitung taz, Leiter Parlamentsbüro taz) ",Robert HABECK,Vors Bündnis 90 / Die Grünen,Kristina DUNZ,Journalistin Redaktionsnetzwerk Deutschland,Karin PRIEN,"Ministerin für Bildung, Wissenschaft und Kultur Schleswig-Holstein, CDU",Ulrich SCHULTE,"Journalist, die tageszeitung taz, Leiter Parlamentsbüro taz",,,,,,,,,,,,,,,,,,
 Markus Lanz 20.10.2021,1590,14,119,20.10.2021,045'14,00:00:51 - 00:46:05, 00:00:51 - 00:46:05 045'14 O-Ton Interview Markus LANZ mit den Studiogästen Markus BLUME (GenSkr CSU) und Marie-Agnes STRACK-ZIMMERMANN (Mitglied Bundesvorstand FDP) ,Markus BLUME,GenSkr CSU,Agnes STRACK-ZIMMERMANN,Mitglied Bundesvorstand FDP,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 21.10.2021,1591,14,120,21.10.2021,076'49,23:19:10 - 00:35:59," 23:19:10 - 00:35:59 076'49 O-Ton Interview Markus LANZ mit den Studiogästen Daniel DREPPER (Journalist, Chefredakteur ""Ippen Investigativ""), Caroline ROSALES (Autorin, ehem Mitarbeiterin im Axel Springer Verlag), Melanie AMANN (Journalistin, Leiterin Hauptstadtbüro ""Der Spiegel""), Michael MÜLLER (RBm Berlin, SPD) und Hajo SCHUMACHER (Journalist, Publizist) ",Daniel DREPPER,"Journalist, Chefredakteur ""Ippen Investigativ""",Caroline ROSALES,"Autorin, ehem Mitarbeiterin im Axel Springer Verlag",Melanie AMANN,"Journalistin, Leiterin Hauptstadtbüro ""Der Spiegel""",Michael MÜLLER,"RBm Berlin, SPD",Hajo SCHUMACHER,"Journalist, Publizist",,,,,,,,,,,,,,,,
 Markus Lanz 26.10.2021,1592,14,121,26.10.2021,075'26,22:45:47 - 00:01:13," 22:45:47 - 00:01:13 075'26 O-Ton Interview Markus LANZ mit den Studiogästen Jana SCHROEDER (Virologin), Wiebke WINTER (CDU, Mitglied Bundesvorstand), Albrecht VON LUCKE (Publizist), Carla REEMTSMA (Umweltaktivistin, ""Fridays for Future""-Sprecherin) ",Jana SCHROEDER,Virologin,Wiebke WINTER,"CDU, Mitglied Bundesvorstand",Albrecht VON,Publizist,Carla REEMTSMA,"Umweltaktivistin, ""Fridays for Future""-Sprecherin",,,,,,,,,,,,,,,,,,
 Markus Lanz 27.10.2021,1593,14,122,27.10.2021,077'21,23:14:42 - 00:32:03," 23:14:42 - 00:32:03 077'21 O-Ton Interview Markus LANZ mit den Studiogästen Gerhart BAUM (ehem Bundesinnenminister, FDP), Gerald KNAUS (Soziologe), Kerstin MÜNSTERMANN (Journalistin, ""Rheinischen Post"") und Cansin KÖKTÜRK (Sozialarbeiterin, Mitglied Bündnis 90 / Die Grünen) ",Gerhart BAUM,"ehem Bundesinnenminister, FDP",Gerald KNAUS,Soziologe,Kerstin MÜNSTERMANN,"Journalistin, ""Rheinischen Post""",Cansin KÖKTÜRK,"Sozialarbeiterin, Mitglied Bündnis 90 / Die Grünen",,,,,,,,,,,,,,,,,,
 Markus Lanz 28.10.2021,1594,14,123,28.10.2021,075'28,23:15:54 - 00:31:22," 23:15:54 - 00:31:22 075'28 O-Ton Interview Markus Lanz mit den Studiogästen Franz MÜNTEREFRING (Politiker, SPD), Anja MAIER (Journalistin, ""Weser-Kurier""), Michael KELLNER (BGeschF Bündnis 90 / Die Grünen) und Prof Carsten WATZL (Immunologe Technische Universität Dortmund) ",Franz MÜNTEREFRING,"Politiker, SPD",Anja MAIER,"Journalistin, ""Weser-Kurier""",Michael KELLNER,BGeschF Bündnis 90 / Die Grünen,Prof Carsten WATZL,Immunologe Technische Universität Dortmund,,,,,,,,,,,,,,,,,,
 Markus Lanz 02.11.2021,1595,14,124,02.11.2021,077'16,23:31:39 - 00:48:55," 23:31:39 - 00:48:55 077'16 O-Ton Interview Markus LANZ mit den Studiogästen Reiner HASELOFF (MPr Sachsen-Anhalt, CDU, Zuschaltung ",,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 03.11.2021,1596,14,125,03.11.2021,045'57,00:00:16 - 00:46:13," 00:00:16 - 00:46:13 045'57 O-Ton Interview Markus LANZ mit den Studiogästen Ewald LIENEN (Fußballtrainer), Felix MAGATH (Fußballtrainer) und Cathrin GILBERT (Sportjournalistin, Die Zeit) ",Ewald LIENEN,Fußballtrainer,Felix MAGATH,Fußballtrainer,Cathrin GILBERT,"Sportjournalistin, Die Zeit",,,,,,,,,,,,,,,,,,,,
 Markus Lanz 04.11.2021,1597,14,126,04.11.2021,075'15,23:19:45 - 00:35:00," 23:19:45 - 00:35:00 075'15 O-Ton Interview Markus LANZ mit den Studiogästen Harald LESCH (Physiker, Wissenschaftsjournalist), Frank THELEN (Unternehmer), Prof Dr Lamia MESSARI-BECKER (Bauingenieurin, Professorin für Gebäudetechnologie und Bauphysik, Universität Siegen) und Marcel FRATZSCHER (Wirtschaftswissenschaftler, Präs Deutsches Institut für Wirtschaftsforschung) ",Harald LESCH,"Physiker, Wissenschaftsjournalist",Frank THELEN,Unternehmer,Prof Dr Lamia MESSARI-BECKER,"Bauingenieurin, Professorin für Gebäudetechnologie und Bauphysik, Universität Siegen",Marcel FRATZSCHER,"Wirtschaftswissenschaftler, Präs Deutsches Institut für Wirtschaftsforschung",,,,,,,,,,,,,,,,,,
 Markus Lanz 09.11.2021,1598,14,127,09.11.2021,076'51,22:45:34 - 00:02:25," 22:45:34 - 00:02:25 076'51 O-Ton Interview Markus LANZ mit den Studiogästen Peter ALTMAIER (BMWE, CDU), Claudia KADE (Journalistin, ""Die Welt""), Dr Carola HOLZNER (Ärztin), Frank SCHÄTZING (Autor) ",Peter ALTMAIER,"BMWE, CDU",Claudia KADE,"Journalistin, ""Die Welt""",Dr Carola HOLZNER,Ärztin,Frank SCHÄTZING,Autor,,,,,,,,,,,,,,,,,,
 Markus Lanz 10.11.2021,1599,14,128,10.11.2021,075'17,23:14:06 - 00:29:23," 23:14:06 - 00:29:23 075'17 O-Ton Interview Markus Lanz mit den Studiogästen Stephan WEIL (MPr Niedersachsen, SPD, zugeschaltet per Videotelefonie), Michael BRÖCKER (Journalist, Chefredakteur ""Media Pioneer""), Mojib LATIF (Klimaforscher) und Prof Melanie BRINKMANN (Virologin am Helmholtz-Institut für Infektionsforschung) ",Stephan WEIL,"MPr Niedersachsen, SPD, zugeschaltet per Videotelefonie",Michael BRÖCKER,"Journalist, Chefredakteur ""Media Pioneer""",Mojib LATIF,Klimaforscher,Prof Melanie BRINKMANN,Virologin am Helmholtz-Institut für Infektionsforschung,,,,,,,,,,,,,,,,,,
 Markus Lanz 11.11.2021,1600,14,129,11.11.2021,076'08,23:32:26 - 00:48:34," 23:32:26 - 00:48:34 076'08 O-Ton Interview Markus LANZ mit den Studiogästen Jens TEUTRINE (Vors Junge Liberale), Sarah-Lee HEINRICH (Vors Grüne Jugend), Yasmine M'BAREK (Journalistin, Zeit Online) und Vincent STAMER (Ökonom, Institut für Weltwirtschaft) ",Jens TEUTRINE,Vors Junge Liberale,Lee HEINRICH,Vors Grüne Jugend,Yasmine M,"Journalistin, Zeit Online",Vincent STAMER,"Ökonom, Institut für Weltwirtschaft",,,,,,,,,,,,,,,,,,
 Markus Lanz 16.11.2021,1601,14,130,16.11.2021,076'53,22:44:43 - 00:01:36," 22:44:43 - 00:01:36 076'53 O-Ton Interview Markus LANZ mit den Studiogästen Prof Dr Thomas MERTENS (Vors Ständige Impfkommission), Christina BERNDT (Journalistin, ""Süddeutsche Zeitung""), Alexander Graf LAMBSDORFF (stellv Fraktionsvors FDP) und Muriel KALISCH (Journalistin, ""Der Spiegel"") ",Prof Dr Thomas MERTENS,Vors Ständige Impfkommission,Christina BERNDT,"Journalistin, ""Süddeutsche Zeitung""",Alexander Graf LAMBSDORFF,stellv Fraktionsvors FDP,Muriel KALISCH,"Journalistin, ""Der Spiegel""",,,,,,,,,,,,,,,,,,
 Markus Lanz 17.11.2021,1602,14,131,17.11.2021,077'47,23:36:47 - 00:54:34, 23:36:47 - 00:54:34 077'47 O-Ton Interview Markus LANZ mit den Studiogästen Karl LAUTERBACH (Prof für Epidemiologie und Gesundheitsökonomie,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz,1603,14,132,18.11.2021,076'52,23:14:38 - 00:31:30," 23:14:38 - 00:31:30 076'52 O-Ton Interview Markus LANZ mit den Studiogästen Christine ASCHENBERG-DUGNUS (MdB, FDP, Gesundheitspolitische Sprecherin FDP-Fraktion), Anja MAIER (Journalistin, ""Weser-Kurier""), Stefan KLUGE (Intensivmediziner UKE Hamburg), Alexander KEKULE (Virologe) ",Christine ASCHENBERG-DUGNUS,"MdB, FDP, Gesundheitspolitische Sprecherin FDP-Fraktion",Anja MAIER,"Journalistin, ""Weser-Kurier""",Stefan KLUGE,Intensivmediziner UKE Hamburg,Alexander KEKULE,Virologe,,,,,,,,,,,,,,,,,,
 Markus Lanz 23.11.2021,1604,14,133,23.11.2021,076'43,22:46:59 - 00:03:42," 22:46:59 - 00:03:42 076'43 O-Ton Interview Markus LANZ mit den Studiogästen Friedrich MERZ (CDU), Kerstin MÜNSTERMANN (Journalistin, ""Rheinische Post""), Timo ULRICHS (Virologe), Corinna MILBORN (Journalistin) ",Friedrich MERZ,CDU,Kerstin MÜNSTERMANN,"Journalistin, ""Rheinische Post""",Timo ULRICHS,Virologe,Corinna MILBORN,Journalistin,,,,,,,,,,,,,,,,,,
 Markus Lanz 24.11.2021,1605,14,134,24.11.2021,054'12,00:01:28 - 00:55:40," 00:01:28 - 00:55:40 054'12 O-Ton Interview Markus LANZ mit den Studiogästen Eva QUADBECK (Chefredakteurin ""RedaktionsNetzwerk Deutschland""), Jürgen TRITTIN (MdB, Bündnis 90 / Die Grünen), Ralf STEGNER (MdB, SPD) ",Eva QUADBECK,"Chefredakteurin ""RedaktionsNetzwerk Deutschland""",Jürgen TRITTIN,"MdB, Bündnis 90 / Die Grünen",Ralf STEGNER,"MdB, SPD",,,,,,,,,,,,,,,,,,,,
 Markus Lanz 25.11.2021,1606,14,135,25.11.2021,076'18,23:18:40 - 00:34:58," 23:18:40 - 00:34:58 076'18 O-Ton Interview Markus LANZ mit den Studiogästen BMK Helge BRAUN (CDU), Andreas BOVENSCHULTE (Bgm Bremen, SPD), Robin ALEXANDER (Journalist, stellv Chefredakteur ""Die Welt"") und Susanne SCHREIBER (Neurowissenschaftlerin und Biophysikerin, Humboldt Universität Berlin, stellv Vors Deutscher Ethikrat) ",Helge BRAUN,CDU,Andreas BOVENSCHULTE,"Bgm Bremen, SPD",Robin ALEXANDER,"Journalist, stellv Chefredakteur ""Die Welt""",Susanne SCHREIBER,"Neurowissenschaftlerin und Biophysikerin, Humboldt Universität Berlin, stellv Vors Deutscher Ethikrat",,,,,,,,,,,,,,,,,,
 Markus Lanz 30.11.2021,1607,14,136,30.11.2021,075'35,22:50:51 - 00:06:26," 22:50:51 - 00:06:26 075'35 O-Ton Interview Markus LANZ mit den Studiogästen Reiner HASELOFF (MPr Sachsen-Anhalt, CDU, Zuschaltung ",,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 01.12.2021,1608,14,137,01.12.2021,076'08,23:34:55 - 00:51:03," 23:34:55 - 00:51:03 076'08 O-Ton Interview Markus LANZ mit den Studiogästen Stephan WEIL (MPr Niedersachsen, SPD), Hannah BETHKE (Journalistin, ""NZZ""), Dirk BROCKMANN (Epidemiologe), Dr Martin TERHARDT (Kinderarzt, Mitglied STIKO) ",Stephan WEIL,"MPr Niedersachsen, SPD",Hannah BETHKE,"Journalistin, ""NZZ""",Dirk BROCKMANN,Epidemiologe,Dr Martin TERHARDT,"Kinderarzt, Mitglied STIKO",,,,,,,,,,,,,,,,,,
 Markus Lanz 02.12.2021,1609,14,138,02.12.2021,073'57,23:23:37 - 00:37:34," 23:23:37 - 00:37:34 073'57 O-Ton Interview Markus LANZ mit den Studiogästen Omid NOURIPOUR (MdB Bündnis 90 / Die Grünen), Ann-Kathrin BÜÜSKER (Journalistin ""Deutschlandfunk""), Hendrik STREECK (Virologe), Bernd BÖTTIGER (Direktor der Klinik für Anästhesiologie und Operative Intensivmedizin der Universität zu Köln) ",Omid NOURIPOUR,MdB Bündnis 90 / Die Grünen,Kathrin BÜÜSKER,"Journalistin ""Deutschlandfunk""",Hendrik STREECK,Virologe,Bernd BÖTTIGER,Direktor der Klinik für Anästhesiologie und Operative Intensivmedizin der Universität zu Köln,,,,,,,,,,,,,,,,,,
 Markus Lanz 07.12.2021,1610,14,139,07.12.2021,076'48,23:35:11 - 00:51:59," 23:35:11 - 00:51:59 076'48 O-Ton Interview Markus LANZ mit den Studiogästen Winfried KRETSCHMANN (MPr Baden-Württemberg, Bündnis 90 / Die Grünen, Zuschaltung ",,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 08.12.2021,1611,14,140,08.12.2021,051'26,00:03:53 - 00:55:19, 00:03:53 - 00:55:19 051'26 O-Ton Interview Markus LANZ mit Studiogast Margot FRIEDLÄNDER (Überlebende des Holocaust) ,Margot FRIEDLÄNDER,Überlebende des Holocaust,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 09.12.2021,1612,14,141,09.12.2021,076'18,23:18:39 - 00:34:57," 23:18:39 - 00:34:57 076'18 O-Ton Interview Markus LANZ mit den Studiogästen Peter TSCHENTSCHER (Erster Bgm Hamburg, SPD, Zuschaltung ",,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 14.12.2021,1613,14,142,14.12.2021,074'41,22:45:39 - 00:00:20," 22:45:39 - 00:00:20 074'41 O-Ton Interview Markus LANZ mit den Studiogästen Kevin KÜHNERT (GenSekr SPD), Ulrike HERRMANN (Journalistin, ""taz""), Lars HAIDER (Chefredakteur, ""Hamburger Abendblatt""), Veronika GRIMM (Ökonomin, Mitglied Sachverständigenrat für Wirtschaft) ",Kevin KÜHNERT,GenSekr SPD,Ulrike HERRMANN,"Journalistin, ""taz""",Lars HAIDER,"Chefredakteur, ""Hamburger Abendblatt""",Veronika GRIMM,"Ökonomin, Mitglied Sachverständigenrat für Wirtschaft",,,,,,,,,,,,,,,,,,
 Markus Lanz - Das Jahr 2021,,,,15.12.2021,125'11,20:15:15 - 22:20:26," 20:15:15 - 22:20:26 125'11 In der Spezial-Ausgabe ""Markus Lanz – Das Jahr 2021"" blickt der Moderator gemeinsam mit seinen Studiogästen auf das Jahr zurück. Zu Wort kommen neben politischen Entscheidungsträgern auch Medizinerinnen und Mediziner, Journalistinnen und Journalisten und prominente Persönlichkeiten, die Besonderes geleistet haben und in Erinnerung bleiben werden. O-Ton Interview Markus LANZ mit den Studiogästen BMG Karl LAUTERBACH (SPD), Markus SÖDER (MPr Bayern, CSU, Zuschaltung ",Zu W,SPD,Ton Interview Markus LANZ,SPD,Studiogästen BMG,SPD,Karl LAUTERBACH,SPD,,,,,,,,,,,,,,,,,,
 Markus Lanz 16.12.2021,1614,14,143,16.12.2021,076'32,23:20:28 - 00:37:00," 23:20:28 - 00:37:00 076'32 O-Ton Interview Markus LANZ mit den Studiogästen Bodo RAMELOW (MPr Thüringen, DIE LINKE, Zuschaltung ",,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 04.01.2022,1615,15,1,04.01.2022,060'30,23:29:55 - 00:30:25," 23:29:55 - 00:30:25 060'30 O-Ton Interview Markus LANZ mit den Studiogästen Sigmar GABRIEL (Vors Atlantikbrücke, SPD), Annika BROCKSCHMIDT (ZDF, Historikerin, USA-Expertin) und Johannes HANO (Leiter ZDF-Studio New York) ",Sigmar GABRIEL,"Vors Atlantikbrücke, SPD",Annika BROCKSCHMIDT,"ZDF, Historikerin, USA-Expertin",Johannes HANO,Leiter ZDF-Studio New York,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 05.01.2022,1616,15,2,05.01.2022,076'16,22:53:24 - 00:09:40," 22:53:24 - 00:09:40 076'16 O-Ton Interview Markus LANZ mit den Studiogästen Carsten WATZL (Immunologe), Christine ASCHENBERG-DUGNUS (parl GeschF FDP), Tobias HANS (MPr Saarland, CDU) und Nadine LINDNER (Journalistin, ""Deutschlandradio"") ",Carsten WATZL,Immunologe,Christine ASCHENBERG-DUGNUS,parl GeschF FDP,Tobias HANS,"MPr Saarland, CDU",Nadine LINDNER,"Journalistin, ""Deutschlandradio""",,,,,,,,,,,,,,,,,,
 Markus Lanz 06.01.2022,1617,15,3,06.01.2022,076'17,22:59:50 - 00:16:07," 22:59:50 - 00:16:07 076'17 O-Ton Interview Markus LANZ mit den Studiogästen Karin PRIEN (Bildungsministerin Schleswig-Holstein, Präs Kultusministerkonferenz, CDU), Gregor GYSI (MdB, DIE LINKE), Eva QUADBECK (stellv Chefredakteurin ""RedaktionsNetzwerk Deutschland""), Hendrik STREECK (Virologe, Mitglied Corona-Expertenrat) und ",Karin PRIEN,"Bildungsministerin Schleswig-Holstein, Präs Kultusministerkonferenz, CDU",Gregor GYSI,"MdB, DIE LINKE",Eva QUADBECK,"stellv Chefredakteurin ""RedaktionsNetzwerk Deutschland""",Hendrik STREECK,"Virologe, Mitglied Corona-Expertenrat",,,,,,,,,,,,,,,,,,
 Markus Lanz 11.01.2022,1618,15,4,11.01.2022,075'08,22:46:25 - 00:01:33," 22:46:25 - 00:01:33 075'08 O-Ton Interview Markus LANZ mit den Studiogästen Manuela SCHWESIG (MPr Mecklenburg-Vorpommern, SPD, Zuschaltung ",,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 12.01.2022,1619,15,5,12.01.2022,075'00,23:18:32 - 00:33:32," 23:18:32 - 00:33:32 075'00 O-Ton Interview Markus LANZ mit den Studiogästen Diana ZIMMERMANN (Journalistin, Leiterin ZDF-Studio London, Zuschaltung ",,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 13.01.2022,1620,15,6,13.01.2022,077'12,23:19:19 - 00:36:31," 23:19:19 - 00:36:31 077'12 O-Ton Interview Markus LANZ mit den Studiogästen Ralf STEGNER (MdB SPD), Kerstin MÜNSTERMANN (Journalistin, ""Rheinische Post""), Monika SCHNITZER (Ökonomin, Mitglied Sachverständigenrat Wirtschaft) und Dirk BROCKMANN (Physiker, Epidemiologe, Komplexitätsforscher) ",Ralf STEGNER,MdB SPD,Kerstin MÜNSTERMANN,"Journalistin, ""Rheinische Post""",Monika SCHNITZER,"Ökonomin, Mitglied Sachverständigenrat Wirtschaft",Dirk BROCKMANN,"Physiker, Epidemiologe, Komplexitätsforscher",,,,,,,,,,,,,,,,,,
