ID,Datum,Talkshow,Inhalt
markus-lanz_1239-folge-1239-1277641,2019-04-04,Markus Lanz,"Christian Lindner, Politiker Er ist der Partei- und Fraktionsvorsitzende der FDP. Lindner äußert sich zur „Fridays for Future“-Bewegung und spricht über die aktuelle Situation seiner Partei. Luisa Neubauer, Klimaschutz-Aktivistin Sie engagiert sich für die Themen Klimaschutz und Menschenrechte. In der Sendung spricht die Studentin über ihre Arbeit als Klimaschutz-Aktivistin und ihre Forderungen an die Politik. Bettina Tietjen, Moderatorin Gerade erschien ihr Buch „Tietjen auf Tour“. In der Sendung erklärt die Moderatorin, warum Camping sie glücklich macht und erinnert sich an skurrile Situationen. David Hasselhoff, Sänger Durch seine Rolle als Michael Knight in „Knight Rider“ wurde er weltberühmt. Im Herbst startet Hasselhoff seine „Freedom“-Tour. Der Sänger und Schauspieler erinnert sich an 30 Jahre Mauerfall. (Text:ZDF)"
maybrit-illner_834-masken-tests-und-neue-strafen-was-nuetzen-die-corona-regeln-1401797,2020-08-27,Maybrit Illner,"Gäste: Helge Braun (CDU, Kanzleramtsminister), Manuela Schwesig (SPD, Ministerpräsidentin MV), Melanie Brinkmann (Virologin, HZI), Alena Buyx (Vorsitzende Deutscher Ethikrat), Nicole Grünewald (Präsidentin IHK Köln), Michael Müller (1. Vorstandsvorsitzender ALM e.V.) Die Corona-Tests werden knapp, Masken sollen nun die Rettung sein, verbunden mit höheren Strafen. Bund und Länder suchen im Regel- und Bußgeld-Durcheinander nach gemeinsamen Linien. Doch wann sind einheitliche Vorgaben sinnvoll? Heißt es am Ende arbeiten ja, aber feiern wieder nur begrenzt? Und wann kommen schnelle und bezahlbare COVID-19-Tests? (Text:ZDF)"
maischberger-ard_757-sendung-vom-14-06-2023-1644359,2023-06-14,maischberger,"Die Gegenoffensive der Ukraine läuft und die Armee meldet Geländegewinne. Kann die Ukraine die russischen Besatzer zurückdrängen? Rücken dadurch Friedensverhandlungen in weite Ferne? Darüber diskutieren die Forschungsdirektorin am NATO Defense College Florence Gaub und die Bundestagsabgeordnete Sahra Wagenknecht (Die Linke). Grüne und FDP streiten um das Gebäudeenergiegesetz: Ist die Ampel noch regierungsfähig? Überfordert die grüne Klimapolitik die Bürger? (Die Gesprächsgäste für diesen Teil werden aktuell bekannt gegeben.) Es erklären, kommentieren und diskutieren der Journalist und Moderator Cherno Jobatey, der Berater und Autor Kai Diekmann und die Wirtschaftskorrespondentin der taz Ulrike Herrmann. Gäste u. a.: Sahra Wagenknecht (Die Linke, ehemalige Fraktionsvorsitzende) Florence Gaub (Militärexpertin) Cherno Jobatey (Fernsehmoderator) Kai Diekmann (langjähriger Bild-Chefredakteur) Ulrike Herrmann (taz-Journalistin) (Text:ARD)"
markus-lanz_1559-folge-1559-1484014,2021-07-27,Markus Lanz,"Peter Wohlleben, Förster Der Bestsellerautor schildert, wie er in der Eifel die Flutkatastrophe aus nächster Nähe erlebte. Er sagt: „Ein intakter Wald könnte auch große Wassermassen wegstecken.“ Petra Bahr, Theologin Das Mitglied des Deutschen Ethikrates nimmt Stellung zur Debatte um eine Impfpflicht und um Einschränkungen für Ungeimpfte sowie zur Krisenbewältigung in den Überschwemmungsgebieten. Christine Aschenberg-Dugnus, MdB, FDP „Es gibt keine Grundrechte zweiter Klasse“, sagt die FDP-Gesundheitsexpertin und erläutert, warum sie sich für eine Gleichbehandlung von Geimpften, Genesenen und Getesteten ausspricht. Gerhard Scheuch, Biophysiker Der Aerosol-Forscher beschäftigt sich mit den Übertragungswegen von Viren. Er skizziert die Spezifika der Delta-Variante des Coronavirus und prognostiziert den weiteren Pandemieverlauf. (Text:ZDF)"
hart-aber-fair_799-machtkampf-um-die-rente-verlieren-die-jungen-gegen-die-boomer-1752615,2024-10-21,hart aber fair,"Die Gäste: Franziska Brandmann (FDP, Vorsitzende der Jungen Liberalen) Philipp Türmer (SPD, Vorsitzender der Jusos) Sirkka Jendis (Geschäftsführerin Tafel Deutschland) Hermann-Josef Tenhagen (Chefredakteur „Finanztip“) Heike Oeser (gelernte Bankfachwirtin, will bald in Rente gehen) Georg Kofler (Unternehmer und langjähriger Investor bei „Die Höhle der Löwen“) Immer mehr Rentnerinnen und Rentner, immer weniger Junge, die Beiträge zahlen – das ist das Dilemma unseres Rentensystems. Was muss getan werden, damit junge Menschen nicht zu sehr belastet werden und später eine sichere Rente haben, gleichzeitig alte Menschen im Ruhestand gut leben können? Sind dazu die Rentenpläne der Ampel gerecht? Oder wird Politik nur für Boomer gemacht? (Text:ARD)"
markus-lanz_1881-sendung-vom-06-12-2023-1683004,2023-12-06,Markus Lanz,"Christian Dürr, FDP-Politiker – Der Fraktionschef der Liberalen nimmt Stellung zur Debatte um den Bundeshaushalt infolge des BVerfG-Urteils. Zudem äußert er sich zur Zukunft der Ampelkoalition. Ulrike Herrmann, Journalistin – Die „taz“-Wirtschaftsexpertin analysiert die finanz- und wirtschaftspolitischen Differenzen innerhalb der Regierungsparteien. Auch über den Zustand der FDP spricht sie. Christopher Clark, Historiker – Der Cambridge-Professor und Bestsellerautor äußert sich zum zunehmenden Vertrauensverlust in die Demokratien sowie zur Schwäche der westlichen Welt und deren Werte. Gili Roman, Pädagoge – Seine deutsch-israelische Schwester Yarden wurde von der Hamas verschleppt und kürzlich freigelassen, nach 54 Tagen als Geisel. Er erzählt, wie sie und seine Familie die Zeit erlebt haben. (Text:ZDF)"
markus-lanz_1506-folge-1506-1453492,2021-03-23,Markus Lanz,"Stephan Weil, Politiker Der Ministerpräsident Niedersachsens und SPD-Politiker nimmt Stellung zu den Beschlüssen des Corona-Gipfels. Robin Alexander, Journalist Die stellvertretende „Welt“-Chefredakteur äußert sich zu den Ergebnissen der Bund-Länder-Beratungen und zum Agieren der teilnehmenden politischen Akteure. Mai Thi Nguyen-Kim, Autorin Die promovierte Chemikerin und Wissenschaftsjournalistin spricht über die Lehren nach einem Jahr Corona sowie über ihr neues Buch „Die kleinste gemeinsame Wirklichkeit“. Prof. Hendrik Streeck, Virologe Der Leiter des Instituts für Virologie am Uniklinikum Bonn äußert sich zur Entwicklung des Infektionsgeschehens und zur vermuteten Wirksamkeit des verschärften Lockdowns über Ostern. Prof. Stefan Kluge, Arzt Der Direktor der Intensivmedizin vom Uniklinikum Hamburg-Eppendorf berichtet über die Lage auf deren Corona-Station und darüber, wie man sich dort auf steigende Patientenzahlen vorbereitet. (Text:ZDF)"
maischberger-ard_840-sendung-vom-07-11-2024-1766840,2024-11-07,maischberger,"Nach dem Bruch der Ampelkoalition: Im Studio Bundesaußenministerin Annalena Baerbock (B’90/​Grüne). Union drängt auf baldige Neuwahlen: Im Gespräch der bayerische Ministerpräsident Markus Söder (CSU). Es kommentieren: der stellvertretende Leiter des ARD-Hauptstadtstudios Matthias Deiß, die stellvertretende Chefredakteurin von Table.Briefings Helene Bubrowski und der Chefredakteur von Euronews Claus Strunz. (Text:ARD)"
maybrit-illner_951-heizung-haushalt-abschwung-ampel-im-krisenmodus-1648414,2023-07-06,Maybrit Illner,"Gäste: Ricarda Lang (B’90/​Die Grünen, Parteivorsitzende), Alexander Dobrindt (CSU, MdB, Vorsitzender der CSU-Landesgruppe im Deutschen Bundestag), Yasmin Fahimi (Vorsitzende Deutscher Gewerkschaftsbund (DGB), SPD-Mitglied), Ulrike Malmendier („Wirtschaftsweise“, Ökonomin, Finanzprofessorin an der US-Universität Berkeley), Dagmar Rosenfeld („Welt am Sonntag“-Chefredakteurin) Auf den letzten Drücker versucht die Ampel-Regierung, noch vor der Sommerpause Fakten zu schaffen: Haushalt, Heizungsgesetz, Kindergrundsicherung. Vieles gut gemeint, aber auch gut gemacht? Verunsicherung beim Bürger, Frust bei der Wirtschaft. Beim Wachstum ist Deutschland nur auf Platz 17, das Land erlebt eine Rezession, aber der Kanzler beschwört unverdrossen ein „grünes Wirtschaftswunder“. Wachstum oder Wohlstandsverlust – welche Entscheidungen fallen jetzt? (Text:ZDF)"
maybrit-illner_776-mehr-rente-aus-der-steuerkasse-was-sind-uns-die-alten-wert-1264142,2019-02-07,Maybrit Illner,"Gäste: Hubertus Heil (SPD, Bundesminister für Arbeit und Soziales), Paul Ziemiak (CDU, Generalsekretär), Maria Loheide (Vorstand Sozialpolitik der Diakonie Deutschland), Sarna Röser (Bundesvorsitzende des Verbands DIE JUNGEN UNTERNEHMER), Elisabeth Niejahr (Chefreporterin der „Wirtschaftswoche“), Gudrun Weißmann (Gebäudereinigerin aus Bochum), Heike Debertshäuser (Rentnerin aus Thüringen, in der DDR geschieden, ehemalige Sachbearbeiterin) Mehr Rente aus der Steuerkasse Was sind uns die Alten wert? Damit sich lebenslanger Fleiß auszahlt, soll für Millionen Geringverdiener eine Grundrente geschaffen werden – das sagt der schwarz-rote Koalitionsvertrag. Doch der aktuelle Vorschlag von Bundesarbeitsminister Hubertus Heil geht aus Sicht der Union weit über das vereinbarte Ziel hinaus. Denn die Bedürftigkeit soll keine Rolle spielen. Wer nach genau 35 Beitragsjahren weniger als 896 Euro Rente brutto hat, bekommt einen Zuschlag – egal ob es anderes Vermögen, einen gut abgesicherten Ehepartner oder Betriebsrenten gibt. Bezahlen sollen dafür die Steuerzahler. Wie gerecht sind die Pläne des SPD-Ministers? Ließe sich mit der neuen Grundrente endlich Altersarmut vermeiden? Wie teuer wird sie für die Steuerzahler? (Text:ZDF)"
markus-lanz_1815-sendung-vom-07-06-2023-1643241,2023-06-07,Markus Lanz,"Serap Güler, Politikerin Die CDU-Verteidigungspolitikerin und frühere NRW-Flüchtlingsstaatssekretärin äußert sich zur Debatte um die Reform des strittigen europäischen Asylsystems sowie zum Ukrainekrieg. Robin Alexander, Journalist Mit Blick auf das bevorstehende Treffen der EU-Innenminister analysiert der „Welt“-Vize die deutsche Migrationspolitik. Zudem äußert er sich zum wachsenden Zulauf für die AfD. Sarah Pagung, Politologin Die Russland-Expertin der Körber-Stiftung informiert über neue Erkenntnisse zum Dammbruch am Kachowka-Stausee. Und sie erklärt, wie Putin Fluchtbewegungen als Druckmittel benutzt. Aminata Touré, Politikerin Die schleswig-holsteinische Sozialministerin (B’90/​Grüne) erläutert, warum sie gegen eine weitreichende Asylrechtsverschärfung ist und wie innerparteilich darüber debattiert wird. (Text:ZDF)"
maybrit-illner_1002-comeback-fuer-trump-ist-europa-vorbereitet-1755509,2024-11-07,Maybrit Illner,"Gäste: Friedrich Merz (CDU, Partei- und Fraktionsvorsitzender), Sigmar Gabriel (Vorsitzender Atlantik Brücke e.V.), Ulrike Malmendier („Wirtschaftsweise“, Ökonomin), Frederik Pleitgen (CNN-Auslandskorrespondent) Trump zum Zweiten – die Wahl in den USA ist entschieden. Der neue, alte US-Präsident wird die Welt in Atem halten. Bringt Trumps Sieg eine neue Weltordnung oder vor allem neue Unordnung? Was bedeutet sein Triumph für Krieg und Frieden in der Ukraine und Nahost? Wird Europa noch Waffen liefern, wenn es die USA nicht mehr tun? Wie teuer wird seine zweite Amtszeit wirtschaftlich für den Westen? Für Europa brechen schwierige Zeiten an, für Deutschland besonders. Sind weder Brüssel noch Berlin richtig vorbereitet? Und rettet Donald Trump am Ende die Ampel, oder kommt es doch zum Bruch? (Text:ZDF)"
markus-lanz_1302-folge-1302-1319604,2019-09-26,Markus Lanz,"Boris Palmer, Politiker „Erst die Fakten, dann die Moral“, ist der Titel seines neuen Buches. Der grüne Oberbürgermeister Tübingens beklagt, dass heutzutage oft „moralische Filter über die Wirklichkeit“ gelegt werden. Jakob Augstein, Verleger Mit Sorge beobachtet der Journalist eine sich stark verändernde Debattenkultur in Deutschland. Die Ursachen und gesellschaftlichen Folgen erläutert er in der Sendung. Patrick Esume, Sportmoderator Viele Jahre gehörte er zu den besten American-Football-Spielern Deutschlands und trainierte zuletzt das französische Nationalteam. Er erzählt von seiner außergewöhnlichen Karriere. Lydia Möcklinghoff, Biologin Im brasilianischen Pantanal erforscht sie die Verhaltensweisen von Säugetieren. Sie spricht über ihre große Faszination für Ameisenbären und deren Gefährdung durch Brandrodungen. (Text:ZDF)"
markus-lanz_1449-folge-1449-1413377,2020-10-22,Markus Lanz,"Elmar Theveßen, Journalist Mit Spannung wird das zweite TV-Duell heute Nacht zwischen Donald Trump und Joe Biden erwartet. Der ZDF-Amerikakorrespondent informiert vorab über die Hintergründe. Klaus Brinkbäumer, Journalist Der Ex-„Spiegel“-Chefredakteur und USA-Experte hat bis vor Kurzem in New York gelebt. Er schildert, wie sich das Land unter der Führung des US-Präsidenten Trump verändert hat. Ralph Freund, Unternehmensberater Der Vizepräsident der „US Republicans Abroad Germany“ erläutert, warum er eine positive Bilanz der Arbeit Trumps zieht. Freund meint: „Er hat einiges für die Einheit der Nation getan.“ Kristina Dunz, Journalistin Vor dem Hintergrund rasant steigender Corona-Infektionszahlen äußert sich die „Rheinische Post“-Redakteurin zum Kurs von Bund und Ländern im Kampf gegen die Pandemie. Prof. Stefan Kluge, Arzt Der Direktor der Intensivmedizin am Uniklinikum Hamburg-Eppendorf berichtet, wie man sich dort auf den Anstieg schwerer Krankheitsverläufe einstellt und COVID-19-Patienten behandelt. (Text:ZDF)"
markus-lanz_1778-sendung-vom-14-03-2023-1624212,2023-03-14,Markus Lanz,"Johannes Vogel, Politiker Der stellvertretende FDP-Bundesvorsitzende nimmt Stellung zu den steuer- und finanzpolitischen Konzepten seiner Partei. Er meint: „Wir haben kein Einnahme-, sondern eher ein Ausgabeproblem.“ Roman Pletter, Journalist Der Leiter des „ZEIT“-Wirtschaftsressorts analysiert den Zustand der deutschen Staatsfinanzen und die Steuerpolitik der Ampelregierung. Marlene Engelhorn, Millionenerbin Die 30-Jährige hat kürzlich eine zweistellige Millionensumme geerbt. Sie legt dar, warum sie damit hadert und sich mit einer Initiative für eine höhere Besteuerung von Vermögen einsetzt. Sarna Röser, Unternehmerin Die Bundesvorsitzende des Verbands „Die JUNGEN UNTERNEHMER“ erklärt, warum sie eine Vermögensteuer und eine grundlegende Reform der Erbschaftsteuer ablehnt. Christoph Trautvetter, Steuerexperte Der wissenschaftliche Referent vom „Netzwerk Steuergerechtigkeit“ erkennt im Steuersystem „massive Gerechtigkeitslücken“ und erläutert, wie dieses fairer gestaltet werden könnte. (Text:ZDF)"
maischberger-ard_769-sendung-vom-26-09-2023-1667529,2023-09-26,maischberger,"Die ukrainische Armee meldet Erfolge an der Südfront und auf der Krim. Können weitere Waffenlieferungen der Ukraine zum Sieg verhelfen oder sollte Deutschland stattdessen auf Verhandlungen mit Russland setzen? Darüber diskutieren die Vorsitzende des Verteidigungsausschusses im Bundestag Marie-Agnes Strack-Zimmermann (FDP) und der Sozialpsychologe und Autor Harald Welzer. 2015 begrüßte der Oberbürgermeister von Schwäbisch Gmünd Richard Arnold (CDU) jeden neu ankommenden Asylbewerber mit Handschlag – heute warnt er vor der Überlastung der Kommunen. Droht die Stimmung in der Gesellschaft zu kippen? Was muss die Politik jetzt tun? Im Gespräch der Oberbürgermeister von Schwäbisch Gmünd Richard Arnold (CDU). Es erklären, kommentieren und diskutieren der Spitzenkoch und TV-Moderator Christian Rach, die Korrespondentin im ARD-Hauptstadtstudio Julie Kurz und der Chefredakteur von „The Pioneer“ Michael Bröcker. Die Gäste: * Marie-Agnes Strack-Zimmermann, FDP (Verteidigungspolitikerin) * Harald Welzer (Soziologe und Bestsellerautor) * Richard Arnold, CDU (Oberbürgermeister Schwäbisch Gmünd) * Christian Rach (Spitzenkoch und Moderator) * Julie Kurz (ARD-Journalistin) * Michael Bröcker (The Pioneer) (Text:tagesschau24)"
maischberger-ard_623-sendung-vom-06-05-2020-1372107,2020-05-06,maischberger,"An diesem Mittwoch beraten die Ministerpräsidenten der Länder erneut mit der Bundeskanzlerin und ihren wichtigsten Ministern über weitere Lockerungen in der Corona-Krise. Erwartet werden Entscheidungen über die Öffnung von Restaurants und zum Neustart der Bundesliga. Unklar bleibt nach wie vor das Vorgehen bei Kitas und Schulen. Werden sich die Bundesländer auf ein einheitliches Vorgehen einigen? Und hat Deutschland das Schlimmste bereits überstanden? Dazu im Studio: Bundeswirtschaftsminister Peter Altmaier. Den einen gehen die Lockerungen nach wie vor nicht weit genug, andere warnen vor den Gefahren schneller Schritte in Richtung Normalität. Wie muss der Wirtschaft in der Krise geholfen werden? Steht die Gesundheit der Menschen über allen anderen Fragen? Darüber debattieren FDP-Chef Christian Lindner und der SPD-Gesundheitsexperte Karl Lauterbach. Es diskutieren, kommentieren und erklären der Fernsehmoderator Johannes B. Kerner, die Leiterin des Parlamentsbüros der „Rheinischen Post“ Eva Quadbeck und der Journalist Gabor Steingart. Die Gäste: Peter Altmaier, CDU (Bundeswirtschaftsminister) Christian Lindner, FDP (Bundesvorsitzender) Karl Lauterbach, SPD (Gesundheitsexperte) Johannes B. Kerner (Moderator) Eva Quadbeck (Parlamentskorrespondentin) Gabor Steingart (Journalist) (Text:ARD)"
hart-aber-fair_719-auf-der-flucht-vor-putin-wie-koennen-wir-helfen-1537225,2022-03-14,hart aber fair,"Die Gäste: Saskia Esken (SPD, Parteivorsitzende) Katja Kipping (DIE LINKE, Senatorin für Integration, Arbeit und Soziales in Berlin) Vassili Golod (WDR-Journalist mit russischen und ukrainischen Wurzeln; Podcaster) Markus Kaim (Politikwissenschaftler; Leiter der Forschungsgruppe „Sicherheitspolitik“ der Stiftung Wissenschaft und Politik) Prof. Dr. Dirk Reinhardt (Direktor und Chefarzt der Kinderklinik am Universitätsklinikum Essen; hilft krebskranken Kindern aus der Ukraine) In der Ukraine zerstampfen Putins Truppen die Städte. Wie lange können wir nur zuschauen? Millionen sind auf der Flucht – wie weit stehen Europas Arme offen? Zeigen wir diesmal unser freundliches Gesicht auf Dauer? Zuschauer fragen, Experten und Politiker im Studio antworten. (Text:ARD)"
maybrit-illner_964-historisch-oder-halbherzig-was-bringt-der-ampel-asyl-plan-1676502,2023-11-09,Maybrit Illner,"Gäste: Cem Özdemir (B’90/​Die Grünen, Bundeslandwirtschaftsminister), Stephan Weil (SPD, Ministerpräsident Niedersachsen), Carsten Linnemann (CDU, Generalsekretär), Victoria Rietig (Migrationsforscherin (DGAP)), Eva Quadbeck (RND-Chefredakteurin) Bis zu 1000 Menschen kommen pro Tag illegal in Deutschland an. Der Druck, politisch etwas dagegen zu tun, ist hoch, die Erwartungen an den Bund-Länder-Gipfel waren es auch. Von einem „historischen Moment“ sprach der Kanzler – doch reichen die Beschlüsse? Wann wird es zum Beispiel schnellere Asylverfahren geben? Wann ändert sich allein die Zahl der zu versorgenden Flüchtlingen? Das wird ohne die Europäische Union kaum gehen, doch auch hier gibt es viele offene Fragen – allen voran: Wann wird die umstrittene Asylreform durch das Europäische Parlament kommen und wann also umgesetzt? Lange zögern kann die Regierung nicht. Wird Deutschland doch im Alleingang über „Belastungsgrenzen“, sichere Herkunftsländer oder Asylverfahren außerhalb der EU entscheiden? Und würde das die auch in der Migrationsfrage zerstrittene Ampel überstehen? (Text:ZDF)"
markus-lanz_2086-sendung-vom-21-05-2025-1797909,2025-05-21,Markus Lanz,
maybrit-illner_990-biden-wackelt-macron-zockt-leichtes-spiel-fuer-nationalisten-1726522,2024-07-04,Maybrit Illner,"Gäste: Michael Roth ((SPD), Vorsitzender des Auswärtigen Ausschusses des Deutschen Bundestages), Norbert Röttgen ((CDU), Mitglied Auswärtiger Ausschuss im Bundestag), Dr. Constanze Stelzenmüller (Expertin für transatlantische Beziehungen und Sicherheitspolitik der Denkfabrik Brookings Institution in Washington, D.C.), Daniela Schwarzer (Vorständin Bertelsmann Stiftung, Honorarprofessorin für Politikwissenschaft an der Freien Universität Berlin und Senior Fellow der Universität Harvard), Fred Pleitgen (Krisen- und Auslandskorrespondent beim US-Nachrichtensender CNN) Furcht macht sich breit unter den Demokraten – nicht nur in der gleichnamigen US-Partei, sondern im liberalen, freien Westen. Das erste TV-Duell endete für US-Präsident Joe Biden im Fiasko. Herausforderer Donald Trump bekommt auch noch juristische Schützenhilfe: Seine Rückkehr an die Macht wird immer wahrscheinlicher. In Frankreich hat sich Präsident Emmanuel Macron mit der von ihm angesetzten Neuwahl verspekuliert. Ein Regierungschef von ganz rechts ist zur realen Gefahr geworden. Nationalisten und Rechtspopulisten an der Macht in Washington und Paris: ein Schrecken für Europa, für die Ukraine und für Deutschland. Verliert unser Land seine wichtigsten Partner? Hat Joe Biden noch eine Chance? Wie viel Macht bleibt Emmanuel Macron? Wer sichert Europas Souveränität? Und wie kann die politische Mitte Populisten und Nationalisten überhaupt erfolgreich begegnen? (Text:ZDF)"
maischberger-ard_627-sendung-vom-03-06-2020-1378892,2020-06-03,maischberger,"Nach dem Tod des Afroamerikaners George Floyd durch einen brutalen Polizeieinsatz in der US-Metropole Minneapolis kommt es auf den Straßen vieler amerikanischer Großstädte zu heftigen Protesten und gewaltsamen Auseinandersetzungen. Droht den USA ein Bürgerkrieg? Und welche Rolle spielt US-Präsident Trump? Dazu im Gespräch: US-Wissenschaftlerin Priscilla Layne. Die Koalition verhandelt über ein milliardenschweres Konjunkturpaket. Im Gespräch sind ein Familienbonus, eine Autokaufprämie und Hilfen für den Mittelstand. Hilft das der deutschen Wirtschaft langfristig? Außerdem will sich die Bundesregierung darauf verständigen, ob die allgemeine Reisewarnung über den 14. Juni hinaus verlängert wird. Zumindest innerhalb Europas sollen die Grenzen auch für Privatreisende aber wieder geöffnet werden. Ein wichtiges Zeichen auch für die Geschlossenheit innerhalb der Europäischen Union? Dazu zu Gast im Studio: Bundesaußenminister Heiko Maas. Die Welt wartet auf einen Impfstoff gegen das Corona-Virus. Wie schnell kann dieser entwickelt und für alle verfügbar gemacht werden? Oder kann es sein, dass alle Versuche, einen Impfstoff zu entwickeln, scheitern werden? Wie hilfreich können Medikamente gegen Covid-19 sein? Fragen an die Virologin und Impfstoff-Forscherin Helga Rübsamen-Schaeff. Es diskutieren, kommentieren und erklären der Wissenschaftsmoderator Dirk Steffens, die ARD-Börsenexpertin Anja Kohl und der „Focus“-Kolumnist Jan Fleischhauer. Die Gäste: Heiko Maas, SPD (Bundesaußenminister) Priscilla Layne (US-Wissenschaftlerin) Anja Kohl (ARD-Börsenexpertin) Dirk Steffens (Moderator) Jan Fleischhauer (Kolumnist) Helga Rübsamen-Schaeff (Virologin) (Text:ARD)"
markus-lanz_1443-folge-1443-1410387,2020-10-08,Markus Lanz,"Sahra Wagenknecht, Politikerin Die LINKEN-Politikerin äußert sich im Hinblick auf die Bundestagswahl 2021 zur Programmatik und zur Personalsituation in ihrer Partei sowie zur Möglichkeit eines Rot-Rot-Grün-Bündnisses. Thomas Middelhoff, Ex-Manager Der frühere Top-Manager spricht über sein neues Buch „Zukunft verpasst?“, in dem er Fehler bei der Digitalisierung aufzeigt und Reformvorschläge vorlegt. Joachim Huber, Journalist Der „Tagesspiegel“-Redakteur erkrankte schwer an COVID-19 und überlebte nur knapp. Er schildert den Krankheitsverlauf, die Behandlung und Genesung. Prof. Uwe Janssens, Mediziner Der Chefarzt am St.-Antonius-Hospital in Eschweiler behandelt Corona-Intensivpatienten. Er berichtet aus seinem Arbeitsalltag. (Text:ZDF)"
maybrit-illner_806-zinsen-im-keller-vorsorge-in-gefahr-wann-lohnt-sich-sparen-wieder-1336358,2019-11-28,Maybrit Illner,"Gäste: Mike Mohring (CDU, Fraktions- und Landeschef Thüringen, 2000 bis 2009 war er finanzpolitischer Sprecher der Landtagsfraktion), Sahra Wagenknecht (DIE LINKE, MdB, Volkswirtin, ehemalige Fraktionsvorsitzende), Marcel Fratzscher (Präsident des Deutschen Instituts für Wirtschaftsforschung (DIW)), Dorothea Mohn (Finanzexpertin bei Verbraucherzentrale Bundesverband VZBV), Marc Friedrich (Bestsellerautor u. a. „Der größte Crash aller Zeiten“ gemeinsam mit Matthias Weik, studierte Internationale Betriebswirtschaftslehre) Die Deutschen sparen immer mehr – und werden trotzdem nicht reicher. Die Negativzinsen schrumpfen alle Guthaben, Sparkassen kündigen einfach Verträge, und Lebensversicherungen werfen kaum noch etwas ab. Die vielgepriesene private Vorsorge ist bedroht. Profitiert hat der Staat: Die „schwarze Null“ im deutschen Bundeshaushalt ist und war nur so möglich. Doch ist eine Phase mit Negativzinsen nicht die einmalige Gelegenheit für Investitionen? Mit billigem Geld Infrastruktur und Konjunktur stärken und damit Unternehmen und Bürgern die Zukunftsängste nehmen? Oder hat die „kalte Enteignung“ der letzten Jahre schon zu viel Schaden angerichtet? (Text:ZDF)"
markus-lanz_1510-folge-1510-1455130,2021-03-31,Markus Lanz,"Wolfgang Schäuble, Politiker Der Präsident des Deutschen Bundestages (CDU) nimmt Stellung zum Zustand der Demokratie, zu den Lehren aus der Corona-Krise und zur Aufstellung seiner Partei im Superwahljahr 2021. Cerstin Gammelin, Journalistin Die „Süddeutsche Zeitung“-Redakteurin analysiert das angespannte Verhältnis zwischen Angela Merkel und manchen Länderchefs sowie das schwierige Ringen um den weiteren Corona-Kurs. Susanne Hennig-Wellsow, Politikerin Die neue Co-Vorsitzende der Linkspartei erläutert, mit welcher inhaltlichen und personellen Strategie sie ihre Partei in die Zukunft führen möchte. Stephan Grünewald, Psychologe Er spricht über die Psyche und Seelenlage der Menschen nach einem Jahr Corona. Und er erklärt, wie bedeutungsvoll die politische Kommunikation in diesen Zeiten ist. (Text:ZDF)"
markus-lanz_1622-sendung-vom-18-01-2022-1525765,2022-01-18,Markus Lanz,"Steffi Lemke, Politikerin Die neue grüne Bundesministerin für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz nimmt Stellung zu ihren politischen Plänen und den EU-Vorhaben zur Taxonomie. Wolfram Weimer, Publizist Der „The European“-Herausgeber analysiert die umwelt- und energiepolitische Strategie der Ampelkoalition. Er meint: „Die Regierung hat es nicht geschafft eine Aufbruchstimmung zu erzeugen.“ Ulf Röller, Journalist Der Leiter des ZDF-Studios Ostasien informiert über die Corona-Lage in China, einschließlich ihrer Auswirkungen auf die kommenden Olympischen Winterspiele und den internationalen Handel. Johannes Hano, Journalist Der ZDF-New-York-Korrespondent lebte und arbeitete von 2007 bis 2014 in Peking. Er äußert sich zu Chinas Supermacht-Bestrebungen, der Geostrategie und Gesellschaftspolitik des Landes. (Text:ZDF)"
caren-miosga_25-ampel-aus-und-trump-comeback-wie-geht-es-weiter-herr-bundeskanzler-1756487,2024-11-10,Caren Miosga,"Deutschlands erste Ampelkoalition ist Geschichte. Nach anhaltenden Streitigkeiten sieht Bundeskanzler Olaf Scholz (SPD) keine Vertrauensbasis mehr zwischen ihm und Finanzminister Christian Lindner (FDP). Das Scheitern der Regierung fällt in eine Krisenzeit: Die wirtschaftlichen Probleme im Land sind vielfältig, es steht kein Haushalt für das kommende Jahr und die EU muss sich im Hinblick auf die Wahl von Donald Trump zum US-Präsidenten neu aufstellen. Mindestens zwei Monate lang will Olaf Scholz jetzt noch regieren, bevor er im Januar 2025 im Bundestag die Vertrauensfrage stellen und damit den Weg für Neuwahlen im März freimachen will. Aber wie will er seine Gesetzesvorhaben noch durchbringen? Und welches Gewicht hat der Bundeskanzler jetzt noch auf europäischer und internationaler Bühne für die weitere Unterstützung der Ukraine und in der Ausrichtung auf die neuen Verhältnisse in den USA? Diesen und anderen drängenden Fragen stellt sich der Bundeskanzler bei „Caren Miosga“. Gast: Olaf Scholz (SPD, Bundeskanzler) (Text:ARD)"
markus-lanz_2089-sendung-vom-28-05-2025-1799410,2025-05-28,Markus Lanz,
markus-lanz_2024-sendung-vom-17-12-2024-1766377,2024-12-17,Markus Lanz,
maischberger-ard_803-sendung-vom-08-04-2024-1709161,2024-04-08,maischberger,
